"shortdescription","regex","attemptregex"
"At least one a followed by one b","a+b ","(a)*(ab)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa+"
"Every b followed by two or more a's","(a|baa)*","(a)*(b)(aa)(a)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"At least one a followed by one b","a+b ","(a|b)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"At least one a followed by one b","a+b ","a(b)*"
"Every b followed by two or more a's","(a|baa)*","(a)*(baa)*(a)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)+(aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa"
"At least one a followed by one b","a+b ","a{1,}b"
"At least one a followed by one b","a+b ","a*b"
"At least one a followed by one b","a+b ","a(a*)b"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","(a)*(baa+)*(a)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b)(a)*(bb)*(a)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(bb)*(b)(a)*(bb)*(a)*"
"Every b followed by two or more a's","(a|baa)*","(ba+a+)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b)*(a)*(b)(a)*(bb)*(a)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b){2,}a{3,}"
"Every b followed by two or more a's","(a|baa)*","(a)*(b(a)+(a)+)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa*)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*(b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b){2,}a{3,}"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","(a)*(baa+)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)aaa"
"Every b followed by two or more a's","(a|baa)*","((a)|(ba(a)*))"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Every b followed by two or more a's","(a|baa)*","((a*)|(ba(a)*))"
"Every b followed by two or more a's","(a|baa)*","(a)*(baa)*"
"Every b followed by two or more a's","(a|baa)*","((a*)|(baa(a)*))"
"Every b followed by two or more a's","(a|baa)*","(a)*(baa+)*"
"Every b followed by two or more a's","(a|baa)*","((a*)|(baa(a)*))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa+"
"Every b followed by two or more a's","(a|baa)*","(a*(ba{2,})*)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b(bb)*)+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a)(a)*|(b)*(a)*"
"Every b followed by two or more a's","(a|baa)*","(a*(ba{2,})*)*"
"Every b followed by two or more a's","(a|baa)*","(a*(ba{2,})*)*"
"At least one a followed by one b","a+b ","[a]+[b]"
"Odd number of b's","(a*ba*b)*a*ba*","b(b{2})*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b)(a|ba*b)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b(bb)*)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a)(b)(a)*(b)*(aaa+)"
"Odd number of b's","(a*ba*b)*a*ba*","[a]*b(([a]*b){2})*[a]*"
"At least one a followed by one b","a+b ","(a)*(ab)"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b)*(b)(a)*(bb)*(a)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b)(a)*(bb)*(a)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)+(ab(bb)+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa"
"Odd number of b's","(a*ba*b)*a*ba*","((a)*(ab(bb)+))+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a)(a)*(b)*(a)*"
"Every b followed by two or more a's","(a|baa)*","(a|b)*aa+"
"At least one a followed by one b","a+b ","(a)(a)*(b)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","aa*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa+)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a*b(a*))((a*)b(a)*b(a*))*"
"Odd number of b's","(a*ba*b)*a*ba*","(b)(a|bb)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(b)(a|bb)*"
"Every b followed by two or more a's","(a|baa)*","a*(a|baa)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a|bb)*(b)(a|bb)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","ab{2,}a{3,}"
"Odd number of b's","(a*ba*b)*a*ba*","(a|bb|bab)*(b)(a|bb|bab)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))+(a|b)*aaa"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*(bb)*(bab)*(b)(a)*(bb)*(bab)*"
"At least one a followed by one b","a+b ","aa*b"
"At least one a followed by one b","a+b ","aa*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*(b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab][ab]+aaa"
"Every b followed by two or more a's","(a|baa)*","a*(baa(a)*)a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a|ba|ba|b*aaaa*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a*)|((b*)(a*)))"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaaa*"
"Every b followed by two or more a's","(a|baa)*","(a|(baaa*))*"
"Every b followed by two or more a's","(a|baa)*","(b?aaa*)*"
"Every b followed by two or more a's","(a|baa)*","(a*(b(aa)+a*)*)"
"Every b followed by two or more a's","(a|baa)*","(a|(baaa*))*"
"Every b followed by two or more a's","(a|baa)*","((b?aaa*)*)|a*"
"Every b followed by two or more a's","(a|baa)*","a*((b?aaa*)*)|a*"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*)+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|b*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(a*ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(a*ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(a*ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","b(bb)*"
"At least one a followed by one b","a+b ","(a)*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b((a*)b(a*)b(a*))*a*"
"At least one a followed by one b","a+b ","(a*b)"
"At least one a followed by one b","a+b ","a*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"At least one a followed by one b","a+b ","(a)*(b)"
"At least one a followed by one b","a+b ","(a*b)"
"Every b followed by two or more a's","(a|baa)*","([a]*[b][a][a])*[a]*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*b*)(aaa+)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(ab)*(ba)*(b)*(aaa+)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(b+)*(a+)*(b+)*(aaa+)"
"At least one a followed by one b","a+b ","a+b"
"At least one a followed by one b","a+b ","a*b+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa)"
"At least one a followed by one b","a+b ","a+b+"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a*b*a{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]*a{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","aba{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]{2,}a{3}"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","(baa+)"
"Odd number of b's","(a*ba*b)*a*ba*","[a]*b(([a]*b){2})*[a]*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a+b+aaa+"
"Every b followed by two or more a's","(a|baa)*","(b)(aa+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","aa||bbaaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","(a*[b]?a{2,})*"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","(a)*(baa+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","aa|ab|ba|bbaaa+"
"Every b followed by two or more a's","(a|baa)*","(a*([b][a]{2,})?)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a|ab)*(a|ba)*(b|a)*"
"At least one a followed by one b","a+b ","a*b"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*b(a|ba*b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*aaa"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","baa+"
"Every b followed by two or more a's","(a|baa)*","b*aa+"
"Every b followed by two or more a's","(a|baa)*","b*(aa+)*"
"At least one a followed by one b","a+b ","a+b"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*b(a|ba*b)*"
"Odd number of b's","(a*ba*b)*a*ba*","(bb)*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*(bb)*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*(bb)*ba*"
"Odd number of b's","(a*ba*b)*a*ba*","a*(bb)*b+a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a+b)*aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(ab)*aaa"
"Odd number of b's","(a*ba*b)*a*ba*","a*(bb)*b*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)+aaa+"
"Odd number of b's","(a*ba*b)*a*ba*","a*(bb)*ba*"
"Odd number of b's","(a*ba*b)*a*ba*","b*(aa)*bb*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*"
"At least one a followed by one b","a+b ","a+b{1}"
"Every b followed by two or more a's","(a|baa)*","(baa+)*a*(baa)*"
"Every b followed by two or more a's","(a|baa)*","(baa+)*a*(baa+)*"
"Every b followed by two or more a's","(a|baa)*","(baa+)*a*(baa+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b){2,}a{3,}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)a*b*aaa+"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"At least one a followed by one b","a+b ","a+b"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)a*b*a*b*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)a*b*a*b*aaa+"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","a*b(a{2,})"
"At least one a followed by one b","a+b ","(a|a*)(b)"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","(a)(a*)(b)"
"At least one a followed by one b","a+b ","(a)(a*)(b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa(a)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|b+([a]{2})+)*"
"Every b followed by two or more a's","(a|baa)*","(a|b)*b*aa+"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|b([a]{2})+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*|b*)*(a)(a)(a)(a*)"
"Odd number of b's","(a*ba*b)*a*ba*","b(bb)*a*"
"Every b followed by two or more a's","(a|baa)*","(a|ba(a)+)*"
"Odd number of b's","(a*ba*b)*a*ba*","(bb)*a*b"
"Every b followed by two or more a's","(a|baa)*","(a|b)*aa+"
"Odd number of b's","(a*ba*b)*a*ba*","b(bb|a)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)|(b|a)(a|b)*(a)(a)(a)(a*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)|(b|a))(a|b)*(a)(a)(a)(a*)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(bb)*"
"Every b followed by two or more a's","(a|baa)*","(a|b)*aa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(b|a))(a|b)*(a)(a)(a)(a*)"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(b|a))(a|b)*(a)(a)(a)(a*)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*|bb)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(ba*b|a)*"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*a"
"At least one a followed by one b","a+b ","a*b"
"At least one a followed by one b","a+b ","a+b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(bb|a)*"
"Odd number of b's","(a*ba*b)*a*ba*","ba*(bb|a)*|a*b(bb|a)*"
"Every b followed by two or more a's","(a|baa)*","((b*)(a)(a)(a*))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"Odd number of b's","(a*ba*b)*a*ba*","(b|a*b(a|ba*b)*)"
"Every b followed by two or more a's","(a|baa)*","(a|(baa+))+"
"Every b followed by two or more a's","(a|baa)*","(a|(baa+))*"
"At least one a followed by one b","a+b ","a*b"
"Every b followed by two or more a's","(a|baa)*","(a*baaa*)*"
"At least one a followed by one b","a+b ","aa*b"
"At least one a followed by one b","a+b ","a*b"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|b([a]{2})+)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(bb|a)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(ba*b|a)*"
"Odd number of b's","(a*ba*b)*a*ba*","((a*|a*ba*(ba*ba*)*a*)|b)"
"Odd number of b's","(a*ba*b)*a*ba*","b|a*(bb|a)*"
"At least one a followed by one b","a+b ","a+b"
"At least one a followed by one b","a+b ","a+b"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Odd number of b's","(a*ba*b)*a*ba*","(b|a+|a*ba*(ba*ba*)*a*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Every b followed by two or more a's","(a|baa)*","(((b)*(a)(a))*(a*))*"
"At least one a followed by one b","a+b ","a*b{1}"
"Every b followed by two or more a's","(a|baa)*","(((b*)(a)(a))*(a*))*"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","aa*b"
"At least one a followed by one b","a+b ","a+b{1}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","ab|aaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]{2}a{3}"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"Every b followed by two or more a's","(a|baa)*","(((b)(a)(a))*(a*))*"
"At least one a followed by one b","a+b ","a{1,}b"
"Every b followed by two or more a's","(a|baa)*","((b)(a)(a)*(a*))*"
"Every b followed by two or more a's","(a|baa)*","(((b)(a)(a))*(a*))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]*a{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a|ba{3,}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]a{3,}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab]{2,}a{3,}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2,}a{3}"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)aaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*aaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","[a-b]*[b]+a{2}[a-b]*"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","ba{3,}"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"Every b followed by two or more a's","(a|baa)*","ba{2,}"
"At least one a followed by one b","a+b ","(a)*b"
"At least one a followed by one b","a+b ","a(a)*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a(a|b)*aaa"
"Every b followed by two or more a's","(a|baa)*","(b(aa+))*"
"Every b followed by two or more a's","(a|baa)*","[a-b]*[b]+a{2}"
"At least one a followed by one b","a+b ","(ab)*"
"At least one a followed by one b","a+b ","(a*b)"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa+))*"
"At least one a followed by one b","a+b ","a+b"
"Odd number of b's","(a*ba*b)*a*ba*","b(bb)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Every b followed by two or more a's","(a|baa)*","a*b*aa{2,}"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","a*b*a{2,}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a*(b(aa+))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"At least one a followed by one b","a+b ","a*b"
"At least one a followed by one b","a+b ","a+b"
"At least one a followed by one b","a+b ","a(a*)b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa)"
"At least one a followed by one b","a+b ","(ab)*"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2}))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"At least one a followed by one b","a+b ","(aa*)b"
"Every b followed by two or more a's","(a|baa)*"," a*|(?:a*|(b[a]{2})+)*"
"Odd number of b's","(a*ba*b)*a*ba*","ba*(a*ba*b)*a*"
"At least one a followed by one b","a+b ","(aa*b)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","a*(b)"
"Odd number of b's","(a*ba*b)*a*ba*","[a]*b(([a]*b){2})*[a]*"
"Odd number of b's","(a*ba*b)*a*ba*"," a*b(a*ba)*a*"
"Odd number of b's","(a*ba*b)*a*ba*"," a*b(a*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*"," a+b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*"," a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","((a+ab+ba+bb)*b)*"
"Every b followed by two or more a's","(a|baa)*","(a*(baa)*)*"
"Every b followed by two or more a's","(a|baa)*","[a]*([b]{1}a{2})"
"Every b followed by two or more a's","(a|baa)*","([a]*([b]{1}a{2}))"
"Every b followed by two or more a's","(a|baa)*","(a|baa(a*))*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","b((a*)(bb))*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*b((a*)(bb))*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*b((a)|(bb))*"
"Every b followed by two or more a's","(a|baa)*","a*(baaa*)*"
"At least one a followed by one b","a+b ","a(ab)*"
"Odd number of b's","(a*ba*b)*a*ba*","b*(b*b*)"
"Odd number of b's","(a*ba*b)*a*ba*","(a|b)*b((a)|(bb))*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|bb|ab|ba)aaa+"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*)+(a*ba*ba*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))*aaa"
"At least one a followed by one b","a+b ","a(a)*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa+"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","(a*(baa)*)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)+"
"Every b followed by two or more a's","(a|baa)*","a+|(baa)+"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*)+(a*ba*ba*)"
"Every b followed by two or more a's","(a|baa)*","a*(b?a{2,})*"
"Every b followed by two or more a's","(a|baa)*","(baa)|a*"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","a*b(aa)|a*"
"Every b followed by two or more a's","(a|baa)*","(a)*(b)(aa*)"
"Every b followed by two or more a's","(a|baa)*","(a)(b)(aa*)"
"Every b followed by two or more a's","(a|baa)*","a*(ba{2,})*"
"Every b followed by two or more a's","(a|baa)*","a+(baa)*|a+"
"Every b followed by two or more a's","(a|baa)*","a+(baa)*|a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)(a|b)*aaa+"
"At least one a followed by one b","a+b ","a(a*)b"
"At least one a followed by one b","a+b ","aa*b"
"At least one a followed by one b","a+b ","a+b"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+"," [a-b]{2}[a-b]*[a]{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+"," (a|b){2,}a{3,}"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaaa*)"
"Every b followed by two or more a's","(a|baa)*","(ba{2,})*"
"Every b followed by two or more a's","(a|baa)*","(b|a{2,})*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(baa)*b"
"Every b followed by two or more a's","(a|baa)*","(a|b)*(baa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","b+a+(aaa)|a+b+(aaa)|b+b+(aaa)|a+a+(aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a+)(b+)(aaa)|(b+)(a+)(aaa)|(a+)(a+)(aaa)|(b+)(b+)(aaa)"
"At least one a followed by one b","a+b ","a+b"
"At least one a followed by one b","a+b ","(a)*b"
"Every b followed by two or more a's","(a|baa)*","a*(baaa*)*"
"At least one a followed by one b","a+b ","a*b"
"At least one a followed by one b","a+b ","a(a)*b"
"Every b followed by two or more a's","(a|baa)*","(a*baa)*a*"
"At least one a followed by one b","a+b ","aa*b"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*ba*)ba*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*ba*ba*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(ab)(a*b*)*(aaa)|(ba)(a*b*)*(aaa)|(aa)(a*b*)*(aaa)|(bb)(a*b*)*(aaa)"
"At least one a followed by one b","a+b ","(a)*b"
"At least one a followed by one b","a+b ","a*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"At least one a followed by one b","a+b ","(a*b)"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*b"
"At least one a followed by one b","a+b ","a+b"
